"filename", "language", "HTML", "JavaScript", "XML", "PostCSS", "Java Properties", "Markdown", "Java", "Batch", "JSON", "MS SQL", "YAML", "comment", "blank", "total"
"c:\academia\portfolio-templates\README.md", "Markdown", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 25, 115
"c:\academia\portfolio-templates\about.html", "HTML", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 137
"c:\academia\portfolio-templates\assets\css\base.css", "PostCSS", 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 22, 134
"c:\academia\portfolio-templates\assets\css\components.css", "PostCSS", 0, 0, 0, 413, 0, 0, 0, 0, 0, 0, 0, 0, 61, 474
"c:\academia\portfolio-templates\assets\css\layout.css", "PostCSS", 0, 0, 0, 228, 0, 0, 0, 0, 0, 0, 0, 0, 39, 267
"c:\academia\portfolio-templates\assets\css\pages.css", "PostCSS", 0, 0, 0, 290, 0, 0, 0, 0, 0, 0, 0, 0, 61, 351
"c:\academia\portfolio-templates\assets\data\cafe_menu.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"c:\academia\portfolio-templates\assets\data\hamsters.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 1, 101
"c:\academia\portfolio-templates\assets\data\news.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\academia\portfolio-templates\assets\data\products.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"c:\academia\portfolio-templates\assets\data\rewards.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 1, 35
"c:\academia\portfolio-templates\assets\data\treats.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\academia\portfolio-templates\assets\img\logo\logo.svg", "XML", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\academia\portfolio-templates\assets\js\cart.js", "JavaScript", 0, 330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 390
"c:\academia\portfolio-templates\assets\js\common.js", "JavaScript", 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 179
"c:\academia\portfolio-templates\assets\js\contact.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 90
"c:\academia\portfolio-templates\assets\js\hamsters.js", "JavaScript", 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 159
"c:\academia\portfolio-templates\assets\js\membership.js", "JavaScript", 0, 257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 299
"c:\academia\portfolio-templates\assets\js\products.js", "JavaScript", 0, 333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 361
"c:\academia\portfolio-templates\assets\js\router.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\academia\portfolio-templates\assets\partials\footer.html", "HTML", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\academia\portfolio-templates\assets\partials\header.html", "HTML", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\academia\portfolio-templates\css\style.css", "PostCSS", 0, 0, 0, 640, 0, 0, 0, 0, 0, 0, 0, 27, 110, 777
"c:\academia\portfolio-templates\design\class-diagram.html", "HTML", 459, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 495
"c:\academia\portfolio-templates\design\logic-explanation.html", "HTML", 500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 580
"c:\academia\portfolio-templates\design\method-list.html", "HTML", 469, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 488
"c:\academia\portfolio-templates\design\system-flow.html", "HTML", 363, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 391
"c:\academia\portfolio-templates\docs\01-proposal.html", "HTML", 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 256
"c:\academia\portfolio-templates\docs\02-market-research.html", "HTML", 247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 270
"c:\academia\portfolio-templates\docs\03-persona.html", "HTML", 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 195
"c:\academia\portfolio-templates\docs\04-sitemap.html", "HTML", 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 252
"c:\academia\portfolio-templates\docs\05-wireframe.html", "HTML", 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 287
"c:\academia\portfolio-templates\docs\06-design-guide.html", "HTML", 311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 334
"c:\academia\portfolio-templates\docs\07-specification.html", "HTML", 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 218
"c:\academia\portfolio-templates\docs\08-db-design.html", "HTML", 209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 238
"c:\academia\portfolio-templates\docs\09-test-report.html", "HTML", 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 165
"c:\academia\portfolio-templates\docs\10-retrospective.html", "HTML", 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 162
"c:\academia\portfolio-templates\hamsters\detail.html", "HTML", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"c:\academia\portfolio-templates\hamsters\index.html", "HTML", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 43
"c:\academia\portfolio-templates\index.html", "HTML", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 161
"c:\academia\portfolio-templates\js\main.js", "JavaScript", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 149
"c:\academia\portfolio-templates\pages\about.html", "HTML", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 77
"c:\academia\portfolio-templates\pages\access.html", "HTML", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 67
"c:\academia\portfolio-templates\pages\account-suspended.html", "HTML", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 74
"c:\academia\portfolio-templates\pages\beginner.html", "HTML", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 66
"c:\academia\portfolio-templates\pages\cafe.html", "HTML", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 108
"c:\academia\portfolio-templates\pages\contact.html", "HTML", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 101
"c:\academia\portfolio-templates\pages\faq.html", "HTML", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 67
"c:\academia\portfolio-templates\pages\login.html", "HTML", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 58
"c:\academia\portfolio-templates\pages\membership.html", "HTML", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 82
"c:\academia\portfolio-templates\pages\mypage.html", "HTML", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"c:\academia\portfolio-templates\pages\news.html", "HTML", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 50
"c:\academia\portfolio-templates\pages\receive.html", "HTML", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 80
"c:\academia\portfolio-templates\pages\register.html", "HTML", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 72
"c:\academia\portfolio-templates\pages\rewards.html", "HTML", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 58
"c:\academia\portfolio-templates\process.html", "HTML", 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 185
"c:\academia\portfolio-templates\products\cart.html", "HTML", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\academia\portfolio-templates\products\checkout.html", "HTML", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 71
"c:\academia\portfolio-templates\products\complete.html", "HTML", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\academia\portfolio-templates\products\detail.html", "HTML", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\academia\portfolio-templates\products\index.html", "HTML", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 44
"c:\academia\portfolio-templates\products\list.html", "HTML", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\academia\portfolio-templates\prompts\prompt-function.html", "HTML", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 32, 137
"c:\academia\portfolio-templates\prompts\prompt-log.html", "HTML", 364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28, 398
"c:\academia\portfolio-templates\prompts\prompt-step.html", "HTML", 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 32, 231
"c:\academia\portfolio-templates\skills.html", "HTML", 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 247
"c:\academia\portfolio-templates\spring-app\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\academia\portfolio-templates\spring-app\mvnw.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 26, 25, 190
